,longitude,latitude,class
0,9.180157,45.45307057,3
1,9.16450737,45.45252234,3
2,9.14099077,45.49012008,3
3,9.20501167,45.44385833,1
4,9.14099077,45.49012008,5
5,9.14099077,45.49012008,7
6,9.14099077,45.49012008,8
7,9.2173382,45.49003920000001,5
8,9.20053482,45.44062178,7
9,9.1531254,45.4551216,5
10,9.2235535,45.4973485,9
11,9.22473262,45.52054846,1
12,9.17567656,45.48438609,5
13,9.10847159,45.51653652,5
14,9.14099077,45.49012008,7
15,9.188955900000002,45.4976804,6
16,9.216835,45.478841,6
17,9.21970967,45.45525626,3
18,9.2053347,45.4443016,0
19,9.19368167,45.4572906,4
20,9.19052357,45.46454612,0
21,9.12363514,45.47049294,3
22,9.2053347,45.4443016,1
23,9.18740372,45.48070685,4
24,9.19368167,45.4572906,0
25,9.21835254,45.45455167,8
26,9.2183761,45.45458519,9
27,9.19368167,45.4572906,3
28,9.14099077,45.49012008,4
29,9.17321256,45.45126736,9
30,9.20468582,45.48459038,9
31,9.21841712,45.45449646,3
32,9.20501167,45.44385833,2
33,9.18720673,45.48247661,1
34,9.1920718,45.46448849,6
35,9.189941,45.46702067,2
36,9.200983,45.4767988,5
37,9.18720673,45.48247661,3
38,9.19003687,45.46533586,2
39,9.19003687,45.46533586,4
40,9.20406313,45.4788006,4
41,9.1836481,45.48169067,8
42,9.1920718,45.46448849,0
43,9.12395255,45.47837335,5
44,9.18371442,45.48175776,4
45,9.23095185,45.4329725,9
46,9.1920718,45.46448849,6
47,9.1321483,45.46460369,8
48,9.23095185,45.4329725,4
49,9.18208892,45.45983622,0
50,9.107194,45.520183,3
51,9.176168,45.4655724,7
52,9.18091652,45.46912103,2
53,9.18091652,45.46912103,8
54,9.19052357,45.46454612,1
55,9.20513186,45.45679969,8
56,9.214738699999998,45.484106,1
57,9.10502456,45.51898212,9
58,9.1042618,45.518823,6
59,9.20354366,45.47040939,8
60,9.09303188,45.5206013,6
61,9.18091652,45.46912103,5
62,9.18091652,45.46912103,9
63,9.24372321,45.46011162,3
64,9.18442422,45.45105653,6
65,9.16909426,45.45148623,8
66,9.20994418,45.47972626,4
67,9.1237159,45.47814769,7
68,9.24365834,45.46026142,6
69,9.15297,45.47336,9
70,9.15422609,45.46153513,4
71,9.15225221,45.44610638,4
72,9.2053347,45.4443016,7
73,9.1553196,45.42568279,9
74,9.18429069,45.45099589,3
75,9.213588,45.4899745,0
76,9.213588,45.4899745,4
77,9.2135021,45.4899826,2
78,9.2137295,45.4899688,1
79,9.2137295,45.4899688,5
80,9.2137295,45.4899688,3
81,9.2136204,45.4899823,2
82,9.2136204,45.4899823,7
83,9.213580699999998,45.4899934,5
84,9.213580699999998,45.4899934,3
85,9.16851826,45.45780269,2
86,9.12367604,45.47816609,2
87,9.181,45.45815,6
88,9.2299413,45.4632057,0
89,9.18980255,45.46242721,4
90,9.2299689,45.4632126,1
91,9.12395255,45.47837335,2
92,9.14099077,45.49012008,5
93,9.18967975,45.47669296,7
94,9.12367604,45.47816609,4
95,9.17276859,45.4526124,2
96,9.14099077,45.49012008,5
97,9.12415,45.47853,6
98,9.107194,45.520183,5
99,9.17572874,45.48259077,5
100,9.2299405,45.4631917,3
101,9.14099077,45.49012008,0
102,9.1920718,45.46448849,3
103,9.18993247,45.46549356,2
104,9.17764292,45.44712454,1
105,9.16909426,45.45148623,5
106,9.21173179,45.4584782,4
107,9.1900851,45.46442323,8
108,9.24116208,45.43398852,4
109,9.1237812,45.47809743,3
110,9.14088266,45.49009189,3
111,9.13059774,45.50991081,5
